Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,list:artifacts,419,0,45,65.98991548913341,9.375280998938251,564.0046440021251,31.0,7.045832934717988,0.0,45,67,80,96,140,210,280,360,560,560,560
GET,list:notifications,814,0,48,82.10410442143144,12.503208003181498,1133.5215470026014,16612.0,13.688085940001056,0.0,48,68,92,110,190,260,350,500,1100,1100,1100
GET,list:projects,1210,0,50,83.20639621566698,11.13377000001492,1080.0743979998515,10530.0,20.347154775677247,0.0,50,73,96,110,180,280,350,540,1100,1100,1100
GET,list:reviews,395,0,44,74.0482567165738,9.794794001209084,1084.594748004747,31.0,6.6422530052830675,0.0,44,64,85,97,150,210,420,650,1100,1100,1100
POST,normal:login,25,0,150.0,155.97191472072154,95.81596300267847,288.3091599942418,147.0,0.4203957598280422,0.0,150,170,180,180,210,220,290,290,290,290,290
GET,normal:login-users,25,0,280.0,279.81861676147673,175.01330400409643,355.02791500039166,1421.0,0.4203957598280422,0.0,280,330,330,340,340,350,360,360,360,360,360
GET,normal:me,25,0,170.0,171.80380279925885,139.81813799910014,251.02126000274438,170.0,0.4203957598280422,0.0,170,180,180,180,180,230,250,250,250,250,250
GET,normal:project-detail,424,0,38,69.75040936543698,9.74275200132979,1110.327773996687,209.0,7.129912086683596,0.0,38,59,77,95,140,210,350,620,1100,1100,1100
,Aggregated,3337,0,48,80.66387424062856,9.375280998938251,1133.5215470026014,7917.521126760564,56.11442602184708,0.0,48,71,94,110,180,260,350,500,1100,1100,1100
