Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,list:artifacts,513,0,270.0,309.582637729085,47.8310819962644,1280.1443120042677,31.0,8.776752792129779,0.0,270,320,370,410,510,590,770,940,1300,1300,1300
GET,list:notifications,986,0,270.0,310.137324586303,33.835163005278446,1377.4144970011548,16612.0,16.869158387992126,0.0,270,320,360,390,500,600,780,1100,1400,1400,1400
GET,list:projects,1603,0,280.0,325.4985338159576,19.436353002674878,1305.6280370001332,10530.0,27.425213890417222,0.0,280,330,380,430,530,690,850,1000,1300,1300,1300
GET,list:reviews,501,0,270.0,303.86784442317276,63.13382899679709,1239.0895869975793,31.0,8.571448633249549,0.0,270,320,360,390,470,570,670,790,1200,1200,1200
POST,normal:login,50,0,290.0,300.22406355972635,151.8680309964111,535.5479339996236,147.0,0.8554339953342863,0.0,300,320,340,350,420,440,540,540,540,540,540
GET,normal:login-users,50,0,370.0,375.61226961915963,200.9904060032568,587.2112449942506,1421.0,0.8554339953342863,0.0,370,430,460,480,490,540,590,590,590,590,590
GET,normal:me,50,0,310.0,316.55833816024824,164.6429700049339,591.92311699735,170.0,0.8554339953342863,0.0,310,320,330,340,430,440,590,590,590,590,590
GET,normal:project-detail,548,0,260.0,307.36799302742367,78.19418900180608,1552.1244460032904,209.0,9.375556588863779,0.0,260,310,360,400,530,620,870,1100,1600,1600,1600
,Aggregated,4301,0,270.0,315.4337662650748,19.436353002674878,1552.1244460032904,7787.000232504069,73.58443227865531,0.0,270,320,370,400,510,620,800,1000,1300,1600,1600
