Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,list:artifacts,109,0,14,25.271425844122625,9.987684999941848,438.38420999964,31.0,1.8475447767475055,0.0,14,17,21,23,29,67,160,190,440,440,440
GET,list:notifications,189,0,18,27.376882285694283,12.96177800395526,414.69024300022284,16612.0,3.203540943167693,0.0,18,22,24,27,42,69,130,180,410,410,410
GET,list:projects,288,0,16,23.711774701420534,11.804381996626034,361.09159600164276,10530.0,4.881586199112675,0.0,16,19,22,24,37,63,89,180,360,360,360
GET,list:reviews,89,0,12,19.91775842604889,10.157247997995,481.10702999838395,31.0,1.5085457351424585,0.0,12,14,17,20,25,28,32,480,480,480,480
POST,normal:login,5,0,24,27.282077400013804,20.87574900360778,35.69450799841434,147.0,0.08474976040126171,0.0,24,34,34,36,36,36,36,36,36,36,36
GET,normal:login-users,5,0,31,30.830942001193762,20.042984004248865,42.10880600294331,1421.0,0.08474976040126171,0.0,31,34,34,42,42,42,42,42,42,42,42
GET,normal:me,5,0,31,29.87385440064827,23.81218100344995,35.57447799539659,170.0,0.08474976040126171,0.0,31,32,32,36,36,36,36,36,36,36,36
GET,normal:project-detail,77,0,13,17.84487111656851,9.371374995680526,155.91003999725217,209.0,1.3051463101794305,0.0,13,15,18,19,26,39,71,160,160,160,160
,Aggregated,767,0,16,23.91718021892843,9.371374995680526,481.10702999838395,8087.651890482399,13.000613245553547,0.0,16,19,22,24,34,62,110,180,480,480,480
