Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,list:artifacts,494,0,320.0,340.3610483662125,78.74348399491282,968.0861480010208,31.0,8.428447496907884,0.0,320,380,410,440,500,570,630,790,970,970,970
GET,list:notifications,988,0,330.0,351.2929148441007,92.5519099982921,1281.9775000025402,16612.0,16.856894993815768,0.0,330,380,410,430,520,610,790,860,1300,1300,1300
GET,list:projects,1438,0,350.0,369.9885460694674,69.83253300131764,1413.3544450014597,10530.0,24.53463056792214,0.0,350,400,440,470,550,660,850,930,1300,1400,1400
GET,list:reviews,472,0,330.0,349.9573064553692,86.51803799875779,1068.9584299980197,31.0,8.053091535507129,0.0,330,380,410,430,500,590,740,830,1100,1100,1100
POST,normal:login,50,0,310.0,310.3469659194525,165.6689569936134,617.4529909985722,147.0,0.8530817304562636,0.0,310,330,340,360,410,420,620,620,620,620,620
GET,normal:login-users,50,0,410.0,422.758590800222,234.96893300034571,664.1740409977501,1421.0,0.8530817304562636,0.0,410,500,500,510,520,540,660,660,660,660,660
GET,normal:me,50,0,270.0,309.9794196600851,168.98603799927514,1252.1407509993878,170.0,0.8530817304562636,0.0,280,320,330,360,450,530,1300,1300,1300,1300,1300
GET,normal:project-detail,499,0,330.0,358.9151484746924,84.62899400183233,1029.435137999826,209.0,8.513755669953511,0.0,330,390,420,450,530,660,830,910,1000,1000,1000
,Aggregated,4041,0,340.0,357.26108477148443,69.83253300131764,1413.3544450014597,7863.383568423657,68.94606545547522,0.0,340,390,420,450,530,610,800,880,1300,1400,1400
