Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,list:artifacts,192,0,16,27.515418484502636,9.616040006221738,940.7573380012764,31.0,3.2474305085711386,0.0,17,21,25,30,37,48,70,350,940,940,940
GET,list:notifications,365,0,21,32.678241901616374,12.976926998817362,885.257208996336,16612.0,6.173500706398258,0.0,21,25,31,34,48,69,120,200,890,890,890
GET,list:projects,567,0,20,33.47302834738493,11.379124996892642,994.226463000814,10530.0,9.590068220624143,0.0,20,24,29,35,53,82,140,350,990,990,990
GET,list:reviews,184,0,15,20.097223738918295,9.419622001587413,142.47945199895184,31.0,3.112120904047341,0.0,15,18,22,23,31,47,85,130,140,140,140
POST,normal:login,10,0,58,72.48148980070255,39.23510300228372,115.68863999855239,147.0,0.1691370056547468,0.0,64,93,96,98,120,120,120,120,120,120,120
GET,normal:login-users,10,0,65,107.32560120013659,42.63974900095491,177.36594100279035,1421.0,0.1691370056547468,0.0,130,150,160,170,180,180,180,180,180,180,180
GET,normal:me,10,0,110.0,120.77392240098561,92.13780800200766,237.83552399982,170.0,0.1691370056547468,0.0,110,110,120,120,240,240,240,240,240,240,240
GET,normal:project-detail,186,0,17,29.12694974762534,9.091831001569517,558.2976110017626,209.0,3.1459483051782904,0.0,17,20,23,27,37,60,210,550,560,560,560
,Aggregated,1524,0,19,31.700155952177997,9.091831001569517,994.226463000814,7940.8136482939635,25.776479661783412,0.0,19,23,28,33,49,82,130,240,940,990,990
