Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/me,50,0,270.0,240.07405484066112,65.03845400584396,411.90785700746346,154.0,2.620441218829443,0.0,280,300,310,320,340,350,410,410,410,410,410
GET,artifacts,212,0,270.0,277.810702637101,12.12867499270942,569.6236900112126,334.0,11.110670767836838,0.0,270,310,330,340,370,400,430,450,570,570,570
POST,login,50,0,180.0,191.41224279912421,40.7920409925282,512.9034580022562,139.0,2.620441218829443,0.0,180,220,250,250,310,330,510,510,510,510,510
GET,login-users,50,0,160.0,147.13817295909394,39.57790300773922,288.2950180064654,792.0,2.620441218829443,0.0,160,180,190,190,210,240,290,290,290,290,290
GET,notifications,404,0,280.0,287.60962365892493,12.522092991275713,607.2552159894258,31.0,21.1731650481419,0.0,280,310,340,350,400,450,510,560,610,610,610
GET,projects,612,0,280.0,288.06246707827563,11.775853010476567,654.0125220053596,460.0,32.07420051847238,0.0,280,310,350,360,400,450,510,540,650,650,650
GET,reviews,183,0,280.0,277.64747590157384,13.462178001645952,535.7356430031359,31.0,9.590814860915762,0.0,280,310,330,330,390,430,470,480,540,540,540
,Aggregated,1561,0,270.0,276.18520076176026,11.775853010476567,654.0125220053596,272.1172325432415,81.81017485185521,0.0,270,310,330,350,390,430,490,530,610,650,650
